Information Technology,Industrials,Financials,Communication Services,Real Estate,Energy,Consumer Discretionary,Materials,Health Care,Utilities,Consumer Staples
201.31935119628906,113.26398468017578,38.15074920654297,77.76225280761719,36.27389144897461,80.63578033447266,173.37857055664062,79.53593444824219,140.2035369873047,58.3568000793457,71.69512176513672
200.3956756591797,114.27889251708984,38.22951126098633,77.52486419677734,36.824520111083984,80.8971176147461,174.42982482910156,80.94044494628906,141.72930908203125,58.57003402709961,71.8604736328125
203.04751586914062,115.03759002685547,38.51502227783203,77.92050170898438,36.80520248413086,81.0616683959961,176.38357543945312,81.58866882324219,142.11322021484375,58.608802795410156,71.7923812866211
203.68313598632812,115.05729675292969,38.36734390258789,78.21723175048828,37.0080680847168,81.89405822753906,177.15716552734375,81.48062896728516,141.86712646484375,58.19203186035156,71.77294158935547
206.42433166503906,115.23465728759766,38.47564697265625,78.30624389648438,37.10466766357422,80.63578033447266,178.4166717529297,81.65741729736328,141.75885009765625,58.414955139160156,71.11151123046875
204.8551025390625,115.40216827392578,38.65285873413086,78.55352020263672,36.98874282836914,81.52626037597656,178.2678985595703,82.30565643310547,141.9458770751953,59.093414306640625,71.61730194091797
201.37893676757812,114.21976470947266,38.13105773925781,77.44574737548828,36.31253433227539,80.70353698730469,174.71742248535156,81.14669036865234,140.6268310546875,58.114498138427734,70.8488998413086
203.48451232910156,116.13130950927734,38.49533462524414,78.6821060180664,36.55403518676758,80.62611389160156,176.5620880126953,81.66724395751953,141.8474578857422,58.43434143066406,70.71272277832031
203.05743408203125,116.99840545654297,39.15497589111328,79.32500457763672,37.433109283447266,82.87164306640625,178.6051025390625,83.20924377441406,142.88101196289062,59.41325378417969,71.16987609863281
201.19024658203125,116.29881286621094,39.01713943481445,78.08865356445312,37.04670333862305,82.8232421875,177.54393005371094,83.65121459960938,143.34368896484375,59.34540557861328,71.27686309814453
199.14427185058594,115.93424224853516,38.90884017944336,77.96996307373047,36.98874282836914,82.06828308105469,175.86785888671875,83.47442626953125,142.86134338378906,59.306636810302734,72.02582550048828
197.8928680419922,116.39734649658203,39.02698516845703,77.88093566894531,37.25922775268555,83.60724639892578,177.16705322265625,83.9360580444336,143.1763458251953,60.09170913696289,72.28844451904297
204.36843872070312,117.83592987060547,39.4798698425293,79.04805755615234,37.355831146240234,83.75243377685547,180.6084442138672,84.78070831298828,144.859619140625,59.62648391723633,72.51216125488281
203.89170837402344,118.45669555664062,39.67677688598633,78.85025024414062,37.404136657714844,83.20072937011719,179.79519653320312,85.2816162109375,145.54867553710938,60.05293655395508,72.73587799072266
204.09034729003906,118.27932739257812,39.4798698425293,77.7029037475586,36.97908020019531,83.49109649658203,180.35060119628906,84.77088928222656,144.800537109375,58.8704948425293,72.4440689086914
204.26913452148438,118.45669555664062,39.588165283203125,78.33592224121094,37.0080680847168,83.13297271728516,180.94564819335938,85.0851821899414,144.44618225097656,59.98509216308594,72.45378875732422
203.30572509765625,118.86067962646484,39.73584747314453,77.80182647705078,37.48141098022461,82.96842956542969,181.6597137451172,85.35037231445312,143.7275848388672,60.169246673583984,72.53160858154297
205.57020568847656,119.22525787353516,39.71615982055664,78.49417877197266,37.78087615966797,83.37494659423828,182.88949584960938,85.99859619140625,142.5561981201172,60.188629150390625,72.4148941040039
209.324462890625,119.73762512207031,39.66693115234375,79.14697265625,38.19626235961914,84.34284210205078,183.4944610595703,86.39146423339844,144.05242919921875,59.82033157348633,72.42462158203125
209.324462890625,120.1711654663086,39.76538848876953,78.10842895507812,38.6309700012207,83.44269561767578,181.01507568359375,87.02005767822266,143.8358612060547,60.82831573486328,72.48297882080078
204.1797332763672,119.18584442138672,39.775230407714844,77.47541809082031,38.138301849365234,84.0621566772461,178.7637939453125,86.55842590332031,142.7628936767578,60.65385437011719,72.65805053710938
205.7986297607422,119.80659484863281,39.98198699951172,77.58422088623047,38.350826263427734,84.32349395751953,178.12905883789062,87.19683837890625,143.73744201660156,61.235389709472656,73.27084350585938
209.04637145996094,120.77223205566406,39.92291259765625,78.8403549194336,38.350826263427734,85.03974151611328,179.48777770996094,88.26741027832031,144.40679931640625,61.63277053833008,73.6890869140625
205.93768310546875,120.50618743896484,39.99182891845703,78.72166442871094,38.80485153198242,85.33978271484375,178.8232879638672,87.75668334960938,144.14100646972656,61.787841796875,73.10548400878906
205.37156677246094,119.88542175292969,40.06074523925781,78.57331085205078,38.61165237426758,86.22057342529297,178.33734130859375,88.7486801147461,144.06227111816406,62.09799575805664,73.5042724609375
209.58270263671875,120.4175033569336,40.22812271118164,79.26567077636719,38.515045166015625,86.08506774902344,179.8745574951172,88.73885345458984,144.7316436767578,61.49707794189453,73.88360595703125
207.31822204589844,120.74266052246094,40.52347946166992,79.40414428710938,38.27354431152344,87.45948791503906,179.49769592285156,89.61297607421875,144.17056274414062,61.91384506225586,74.06842803955078
207.35794067382812,120.23027801513672,40.19858169555664,79.21621704101562,37.73257827758789,88.35962677001953,178.35716247558594,89.14154052734375,143.65867614746094,61.41954040527344,73.49453735351562
204.22940063476562,120.24999237060547,40.15919494628906,78.42494201660156,37.7132568359375,88.62096405029297,176.58193969726562,89.18083190917969,143.0877685546875,61.50677490234375,73.46536254882812
205.23318481445312,120.46348571777344,40.38945770263672,80.03556823730469,37.70741653442383,88.9273452758789,177.93067932128906,89.34346008300781,143.0709686279297,61.790164947509766,73.9376449584961
206.29763793945312,121.50128173828125,40.58711242675781,80.00581359863281,37.70741653442383,89.94209289550781,179.47125244140625,89.35332489013672,144.0193634033203,62.3374137878418,74.21199798583984
